id,name,height,weight,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,base_stat_total
1,bulbasaur,7,69,grass,poison,45,49,49,65,65,45,318
2,ivysaur,10,130,grass,poison,60,62,63,80,80,60,405
3,venusaur,20,1000,grass,poison,80,82,83,100,100,80,525
4,charmander,6,85,fire,,39,52,43,60,50,65,309
5,charmeleon,11,190,fire,,58,64,58,80,65,80,405
6,charizard,17,905,fire,flying,78,84,78,109,85,100,534
7,squirtle,5,90,water,,44,48,65,50,64,43,314
8,wartortle,10,225,water,,59,63,80,65,80,58,405
9,blastoise,16,855,water,,79,83,100,85,105,78,530
10,caterpie,3,29,bug,,45,30,35,20,20,45,195
11,metapod,7,99,bug,,50,20,55,25,25,30,205
12,butterfree,11,320,bug,flying,60,45,50,90,80,70,395
13,weedle,3,32,bug,poison,40,35,30,20,20,50,195
14,kakuna,6,100,bug,poison,45,25,50,25,25,35,205
15,beedrill,10,295,bug,poison,65,90,40,45,80,75,395
16,pidgey,3,18,normal,flying,40,45,40,35,35,56,251
17,pidgeotto,11,300,normal,flying,63,60,55,50,50,71,349
18,pidgeot,15,395,normal,flying,83,80,75,70,70,101,479
19,rattata,3,35,normal,,30,56,35,25,35,72,253
20,raticate,7,185,normal,,55,81,60,50,70,97,413
21,spearow,3,20,normal,flying,40,60,30,31,31,70,262
22,fearow,12,380,normal,flying,65,90,65,61,61,100,442
23,ekans,20,69,poison,,35,60,44,40,54,55,288
24,arbok,35,650,poison,,60,95,69,65,79,80,448
25,pikachu,4,60,electric,,35,55,40,50,50,90,320
26,raichu,8,300,electric,,60,90,55,90,80,110,485
27,sandshrew,6,120,ground,,50,75,85,20,30,40,300
28,sandslash,10,295,ground,,75,100,110,45,55,65,450
29,nidoran-f,4,70,poison,,55,47,52,40,40,41,275
30,nidorina,8,200,poison,,70,62,67,55,55,56,365
31,nidoqueen,13,600,poison,ground,90,92,87,75,85,76,505
32,nidoran-m,5,90,poison,,46,57,40,40,40,50,273
33,nidorino,9,195,poison,,61,72,57,55,55,65,365
34,nidoking,14,620,poison,ground,81,102,77,85,75,85,505
35,clefairy,6,75,fairy,,70,45,48,60,65,35,323
36,clefable,13,400,fairy,,95,70,73,95,90,60,483
37,vulpix,6,99,fire,,38,41,40,50,65,65,299
38,ninetales,11,199,fire,,73,76,75,81,100,100,505
39,jigglypuff,5,55,normal,fairy,115,45,20,45,25,20,270
40,wigglytuff,10,120,normal,fairy,140,70,45,85,50,45,435
41,zubat,8,75,poison,flying,40,45,35,30,40,55,245
42,golbat,16,550,poison,flying,75,80,70,65,75,90,455
43,oddish,5,54,grass,poison,45,50,55,75,65,30,320
44,gloom,8,86,grass,poison,60,65,70,85,75,40,395
45,vileplume,12,186,grass,poison,75,80,85,110,90,50,490
46,paras,3,54,bug,grass,35,70,55,45,55,25,285
47,parasect,10,295,bug,grass,60,95,80,60,80,30,405
48,venonat,10,300,bug,poison,60,55,50,40,55,45,305
49,venomoth,15,125,bug,poison,70,65,60,90,75,90,450
50,diglett,2,8,ground,,10,55,25,35,45,95,265
51,dugtrio,7,333,ground,,35,100,50,50,70,120,425
52,meowth,4,42,normal,,40,45,35,40,40,90,290
53,persian,10,320,normal,,65,70,60,65,65,115,440
54,psyduck,8,196,water,,50,52,48,65,50,55,320
55,golduck,17,766,water,,80,82,78,95,80,85,500
56,mankey,5,280,fighting,,40,80,35,35,45,70,305
57,primeape,10,320,fighting,,65,105,60,60,70,95,455
58,growlithe,7,190,fire,,55,70,45,70,50,60,350
59,arcanine,19,1550,fire,,90,110,80,100,80,95,555
60,poliwag,6,124,water,,40,50,40,40,40,90,300
61,poliwhirl,10,200,water,,65,65,65,50,50,90,385
62,poliwrath,13,540,water,fighting,90,95,95,70,90,70,510
63,abra,9,195,psychic,,25,20,15,105,55,90,310
64,kadabra,13,565,psychic,,40,35,30,120,70,105,400
65,alakazam,15,480,psychic,,55,50,45,135,95,120,500
66,machop,8,195,fighting,,70,80,50,35,35,35,305
67,machoke,15,705,fighting,,80,100,70,50,60,45,405
68,machamp,16,1300,fighting,,90,130,80,65,85,55,505
69,bellsprout,7,40,grass,poison,50,75,35,70,30,40,300
70,weepinbell,10,64,grass,poison,65,90,50,85,45,55,390
71,victreebel,17,155,grass,poison,80,105,65,100,70,70,490
72,tentacool,9,455,water,poison,40,40,35,50,100,70,335
73,tentacruel,16,550,water,poison,80,70,65,80,120,100,515
74,geodude,4,200,rock,ground,40,80,100,30,30,20,300
75,graveler,10,1050,rock,ground,55,95,115,45,45,35,390
76,golem,14,3000,rock,ground,80,120,130,55,65,45,495
77,ponyta,10,300,fire,,50,85,55,65,65,90,410
78,rapidash,17,950,fire,,65,100,70,80,80,105,500
79,slowpoke,12,360,water,psychic,90,65,65,40,40,15,315
80,slowbro,16,785,water,psychic,95,75,110,100,80,30,490
81,magnemite,3,60,electric,steel,25,35,70,95,55,45,325
82,magneton,10,600,electric,steel,50,60,95,120,70,70,465
83,farfetchd,8,150,normal,flying,52,90,55,58,62,60,377
84,doduo,14,392,normal,flying,35,85,45,35,35,75,310
85,dodrio,18,852,normal,flying,60,110,70,60,60,110,470
86,seel,11,900,water,,65,45,55,45,70,45,325
87,dewgong,17,1200,water,ice,90,70,80,70,95,70,475
88,grimer,9,300,poison,,80,80,50,40,50,25,325
89,muk,12,300,poison,,105,105,75,65,100,50,500
90,shellder,3,40,water,,30,65,100,45,25,40,305
91,cloyster,15,1325,water,ice,50,95,180,85,45,70,525
92,gastly,13,1,ghost,poison,30,35,30,100,35,80,310
93,haunter,16,1,ghost,poison,45,50,45,115,55,95,405
94,gengar,15,405,ghost,poison,60,65,60,130,75,110,500
95,onix,88,2100,rock,ground,35,45,160,30,45,70,385
96,drowzee,10,324,psychic,,60,48,45,43,90,42,328
97,hypno,16,756,psychic,,85,73,70,73,115,67,483
98,krabby,4,65,water,,30,105,90,25,25,50,325
99,kingler,13,600,water,,55,130,115,50,50,75,475
100,voltorb,5,104,electric,,40,30,50,55,55,100,330
101,electrode,12,666,electric,,60,50,70,80,80,150,490
102,exeggcute,4,25,grass,psychic,60,40,80,60,45,40,325
103,exeggutor,20,1200,grass,psychic,95,95,85,125,75,55,530
104,cubone,4,65,ground,,50,50,95,40,50,35,320
105,marowak,10,450,ground,,60,80,110,50,80,45,425
106,hitmonlee,15,498,fighting,,50,120,53,35,110,87,455
107,hitmonchan,14,502,fighting,,50,105,79,35,110,76,455
108,lickitung,12,655,normal,,90,55,75,60,75,30,385
109,koffing,6,10,poison,,40,65,95,60,45,35,340
110,weezing,12,95,poison,,65,90,120,85,70,60,490
111,rhyhorn,10,1150,ground,rock,80,85,95,30,30,25,345
112,rhydon,19,1200,ground,rock,105,130,120,45,45,40,485
113,chansey,11,346,normal,,250,5,5,35,105,50,450
114,tangela,10,350,grass,,65,55,115,100,40,60,435
115,kangaskhan,22,800,normal,,105,95,80,40,80,90,490
116,horsea,4,80,water,,30,40,70,70,25,60,295
117,seadra,12,250,water,,55,65,95,95,45,85,440
118,goldeen,6,150,water,,45,67,60,35,50,63,320
119,seaking,13,390,water,,80,92,65,65,80,68,450
120,staryu,8,345,water,,30,45,55,70,55,85,340
121,starmie,11,800,water,psychic,60,75,85,100,85,115,520
122,mr-mime,13,545,psychic,fairy,40,45,65,100,120,90,460
123,scyther,15,560,bug,flying,70,110,80,55,80,105,500
124,jynx,14,406,ice,psychic,65,50,35,115,95,95,455
125,electabuzz,11,300,electric,,65,83,57,95,85,105,490
126,magmar,13,445,fire,,65,95,57,100,85,93,495
127,pinsir,15,550,bug,,65,125,100,55,70,85,500
128,tauros,14,884,normal,,75,100,95,40,70,110,490
129,magikarp,9,100,water,,20,10,55,15,20,80,200
130,gyarados,65,2350,water,flying,95,125,79,60,100,81,540
131,lapras,25,2200,water,ice,130,85,80,85,95,60,535
132,ditto,3,40,normal,,48,48,48,48,48,48,288
133,eevee,3,65,normal,,55,55,50,45,65,55,325
134,vaporeon,10,290,water,,130,65,60,110,95,65,525
135,jolteon,8,245,electric,,65,65,60,110,95,130,525
136,flareon,9,250,fire,,65,130,60,95,110,65,525
137,porygon,8,365,normal,,65,60,70,85,75,40,395
138,omanyte,4,75,rock,water,35,40,100,90,55,35,355
139,omastar,10,350,rock,water,70,60,125,115,70,55,495
140,kabuto,5,115,rock,water,30,80,90,55,45,55,355
141,kabutops,13,405,rock,water,60,115,105,65,70,80,495
142,aerodactyl,18,590,rock,flying,80,105,65,60,75,130,515
143,snorlax,21,4600,normal,,160,110,65,65,110,30,540
144,articuno,17,554,ice,flying,90,85,100,95,125,85,580
145,zapdos,16,526,electric,flying,90,90,85,125,90,100,580
146,moltres,20,600,fire,flying,90,100,90,125,85,90,580
147,dratini,18,33,dragon,,41,64,45,50,50,50,300
148,dragonair,40,165,dragon,,61,84,65,70,70,70,420
149,dragonite,22,2100,dragon,flying,91,134,95,100,100,80,600
150,mewtwo,20,1220,psychic,,106,110,90,154,90,130,680
151,mew,4,40,psychic,,100,100,100,100,100,100,600
152,chikorita,9,64,grass,,45,49,65,49,65,45,318
153,bayleef,12,158,grass,,60,62,80,63,80,60,405
154,meganium,18,1005,grass,,80,82,100,83,100,80,525
155,cyndaquil,5,79,fire,,39,52,43,60,50,65,309
156,quilava,9,190,fire,,58,64,58,80,65,80,405
157,typhlosion,17,795,fire,,78,84,78,109,85,100,534
158,totodile,6,95,water,,50,65,64,44,48,43,314
159,croconaw,11,250,water,,65,80,80,59,63,58,405
160,feraligatr,23,888,water,,85,105,100,79,83,78,530
161,sentret,8,60,normal,,35,46,34,35,45,20,215
162,furret,18,325,normal,,85,76,64,45,55,90,415
163,hoothoot,7,212,normal,flying,60,30,30,36,56,50,262
164,noctowl,16,408,normal,flying,100,50,50,86,96,70,452
165,ledyba,10,108,bug,flying,40,20,30,40,80,55,265
166,ledian,14,356,bug,flying,55,35,50,55,110,85,390
167,spinarak,5,85,bug,poison,40,60,40,40,40,30,250
168,ariados,11,335,bug,poison,70,90,70,60,70,40,400
169,crobat,18,750,poison,flying,85,90,80,70,80,130,535
170,chinchou,5,120,water,electric,75,38,38,56,56,67,330
171,lanturn,12,225,water,electric,125,58,58,76,76,67,460
172,pichu,3,20,electric,,20,40,15,35,35,60,205
173,cleffa,3,30,fairy,,50,25,28,45,55,15,218
174,igglybuff,3,10,normal,fairy,90,30,15,40,20,15,210
175,togepi,3,15,fairy,,35,20,65,40,65,20,245
176,togetic,6,32,fairy,flying,55,40,85,80,105,40,405
177,natu,2,20,psychic,flying,40,50,45,70,45,70,320
178,xatu,15,150,psychic,flying,65,75,70,95,70,95,470
179,mareep,6,78,electric,,55,40,40,65,45,35,280
180,flaaffy,8,133,electric,,70,55,55,80,60,45,365
181,ampharos,14,615,electric,,90,75,85,115,90,55,510
182,bellossom,4,58,grass,,75,80,95,90,100,50,490
183,marill,4,85,water,fairy,70,20,50,20,50,40,250
184,azumarill,8,285,water,fairy,100,50,80,60,80,50,420
185,sudowoodo,12,380,rock,,70,100,115,30,65,30,410
186,politoed,11,339,water,,90,75,75,90,100,70,500
187,hoppip,4,5,grass,flying,35,35,40,35,55,50,250
188,skiploom,6,10,grass,flying,55,45,50,45,65,80,340
189,jumpluff,8,30,grass,flying,75,55,70,55,95,110,460
190,aipom,8,115,normal,,55,70,55,40,55,85,360
191,sunkern,3,18,grass,,30,30,30,30,30,30,180
192,sunflora,8,85,grass,,75,75,55,105,85,30,425
193,yanma,12,380,bug,flying,65,65,45,75,45,95,390
194,wooper,4,85,water,ground,55,45,45,25,25,15,210
195,quagsire,14,750,water,ground,95,85,85,65,65,35,430
196,espeon,9,265,psychic,,65,65,60,130,95,110,525
197,umbreon,10,270,dark,,95,65,110,60,130,65,525
198,murkrow,5,21,dark,flying,60,85,42,85,42,91,405
199,slowking,20,795,water,psychic,95,75,80,100,110,30,490
200,misdreavus,7,10,ghost,,60,60,60,85,85,85,435
201,unown,5,50,psychic,,48,72,48,72,48,48,336
202,wobbuffet,13,285,psychic,,190,33,58,33,58,33,405
203,girafarig,15,415,normal,psychic,70,80,65,90,65,85,455
204,pineco,6,72,bug,,50,65,90,35,35,15,290
205,forretress,12,1258,bug,steel,75,90,140,60,60,40,465
206,dunsparce,15,140,normal,,100,70,70,65,65,45,415
207,gligar,11,648,ground,flying,65,75,105,35,65,85,430
208,steelix,92,4000,steel,ground,75,85,200,55,65,30,510
209,snubbull,6,78,fairy,,60,80,50,40,40,30,300
210,granbull,14,487,fairy,,90,120,75,60,60,45,450
211,qwilfish,5,39,water,poison,65,95,85,55,55,85,440
212,scizor,18,1180,bug,steel,70,130,100,55,80,65,500
213,shuckle,6,205,bug,rock,20,10,230,10,230,5,505
214,heracross,15,540,bug,fighting,80,125,75,40,95,85,500
215,sneasel,9,280,dark,ice,55,95,55,35,75,115,430
216,teddiursa,6,88,normal,,60,80,50,50,50,40,330
217,ursaring,18,1258,normal,,90,130,75,75,75,55,500
218,slugma,7,350,fire,,40,40,40,70,40,20,250
219,magcargo,8,550,fire,rock,60,50,120,90,80,30,430
220,swinub,4,65,ice,ground,50,50,40,30,30,50,250
221,piloswine,11,558,ice,ground,100,100,80,60,60,50,450
222,corsola,6,50,water,rock,65,55,95,65,95,35,410
223,remoraid,6,120,water,,35,65,35,65,35,65,300
224,octillery,9,285,water,,75,105,75,105,75,45,480
225,delibird,9,160,ice,flying,45,55,45,65,45,75,330
226,mantine,21,2200,water,flying,85,40,70,80,140,70,485
227,skarmory,17,505,steel,flying,65,80,140,40,70,70,465
228,houndour,6,108,dark,fire,45,60,30,80,50,65,330
229,houndoom,14,350,dark,fire,75,90,50,110,80,95,500
230,kingdra,18,1520,water,dragon,75,95,95,95,95,85,540
231,phanpy,5,335,ground,,90,60,60,40,40,40,330
232,donphan,11,1200,ground,,90,120,120,60,60,50,500
233,porygon2,6,325,normal,,85,80,90,105,95,60,515
234,stantler,14,712,normal,,73,95,62,85,65,85,465
235,smeargle,12,580,normal,,55,20,35,20,45,75,250
236,tyrogue,7,210,fighting,,35,35,35,35,35,35,210
237,hitmontop,14,480,fighting,,50,95,95,35,110,70,455
238,smoochum,4,60,ice,psychic,45,30,15,85,65,65,305
239,elekid,6,235,electric,,45,63,37,65,55,95,360
240,magby,7,214,fire,,45,75,37,70,55,83,365
241,miltank,12,755,normal,,95,80,105,40,70,100,490
242,blissey,15,468,normal,,255,10,10,75,135,55,540
243,raikou,19,1780,electric,,90,85,75,115,100,115,580
244,entei,21,1980,fire,,115,115,85,90,75,100,580
245,suicune,20,1870,water,,100,75,115,90,115,85,580
246,larvitar,6,720,rock,ground,50,64,50,45,50,41,300
247,pupitar,12,1520,rock,ground,70,84,70,65,70,51,410
248,tyranitar,20,2020,rock,dark,100,134,110,95,100,61,600
249,lugia,52,2160,psychic,flying,106,90,130,90,154,110,680
250,ho-oh,38,1990,fire,flying,106,130,90,110,154,90,680
251,celebi,6,50,psychic,grass,100,100,100,100,100,100,600
252,treecko,5,50,grass,,40,45,35,65,55,70,310
253,grovyle,9,216,grass,,50,65,45,85,65,95,405
254,sceptile,17,522,grass,,70,85,65,105,85,120,530
255,torchic,4,25,fire,,45,60,40,70,50,45,310
256,combusken,9,195,fire,fighting,60,85,60,85,60,55,405
257,blaziken,19,520,fire,fighting,80,120,70,110,70,80,530
258,mudkip,4,76,water,,50,70,50,50,50,40,310
259,marshtomp,7,280,water,ground,70,85,70,60,70,50,405
260,swampert,15,819,water,ground,100,110,90,85,90,60,535
261,poochyena,5,136,dark,,35,55,35,30,30,35,220
262,mightyena,10,370,dark,,70,90,70,60,60,70,420
263,zigzagoon,4,175,normal,,38,30,41,30,41,60,240
264,linoone,5,325,normal,,78,70,61,50,61,100,420
265,wurmple,3,36,bug,,45,45,35,20,30,20,195
266,silcoon,6,100,bug,,50,35,55,25,25,15,205
267,beautifly,10,284,bug,flying,60,70,50,100,50,65,395
268,cascoon,7,115,bug,,50,35,55,25,25,15,205
269,dustox,12,316,bug,poison,60,50,70,50,90,65,385
270,lotad,5,26,water,grass,40,30,30,40,50,30,220
271,lombre,12,325,water,grass,60,50,50,60,70,50,340
272,ludicolo,15,550,water,grass,80,70,70,90,100,70,480
273,seedot,5,40,grass,,40,40,50,30,30,30,220
274,nuzleaf,10,280,grass,dark,70,70,40,60,40,60,340
275,shiftry,13,596,grass,dark,90,100,60,90,60,80,480
276,taillow,3,23,normal,flying,40,55,30,30,30,85,270
277,swellow,7,198,normal,flying,60,85,60,75,50,125,455
278,wingull,6,95,water,flying,40,30,30,55,30,85,270
279,pelipper,12,280,water,flying,60,50,100,95,70,65,440
280,ralts,4,66,psychic,fairy,28,25,25,45,35,40,198
281,kirlia,8,202,psychic,fairy,38,35,35,65,55,50,278
282,gardevoir,16,484,psychic,fairy,68,65,65,125,115,80,518
283,surskit,5,17,bug,water,40,30,32,50,52,65,269
284,masquerain,8,36,bug,flying,70,60,62,100,82,80,454
285,shroomish,4,45,grass,,60,40,60,40,60,35,295
286,breloom,12,392,grass,fighting,60,130,80,60,60,70,460
287,slakoth,8,240,normal,,60,60,60,35,35,30,280
288,vigoroth,14,465,normal,,80,80,80,55,55,90,440
289,slaking,20,1305,normal,,150,160,100,95,65,100,670
290,nincada,5,55,bug,ground,31,45,90,30,30,40,266
291,ninjask,8,120,bug,flying,61,90,45,50,50,160,456
292,shedinja,8,12,bug,ghost,1,90,45,30,30,40,236
293,whismur,6,163,normal,,64,51,23,51,23,28,240
294,loudred,10,405,normal,,84,71,43,71,43,48,360
295,exploud,15,840,normal,,104,91,63,91,73,68,490
296,makuhita,10,864,fighting,,72,60,30,20,30,25,237
297,hariyama,23,2538,fighting,,144,120,60,40,60,50,474
298,azurill,2,20,normal,fairy,50,20,40,20,40,20,190
299,nosepass,10,970,rock,,30,45,135,45,90,30,375
300,skitty,6,110,normal,,50,45,45,35,35,50,260
301,delcatty,11,326,normal,,70,65,65,55,55,90,400
302,sableye,5,110,dark,ghost,50,75,75,65,65,50,380
303,mawile,6,115,steel,fairy,50,85,85,55,55,50,380
304,aron,4,600,steel,rock,50,70,100,40,40,30,330
305,lairon,9,1200,steel,rock,60,90,140,50,50,40,430
306,aggron,21,3600,steel,rock,70,110,180,60,60,50,530
307,meditite,6,112,fighting,psychic,30,40,55,40,55,60,280
308,medicham,13,315,fighting,psychic,60,60,75,60,75,80,410
309,electrike,6,152,electric,,40,45,40,65,40,65,295
310,manectric,15,402,electric,,70,75,60,105,60,105,475
311,plusle,4,42,electric,,60,50,40,85,75,95,405
312,minun,4,42,electric,,60,40,50,75,85,95,405
313,volbeat,7,177,bug,,65,73,75,47,85,85,430
314,illumise,6,177,bug,,65,47,75,73,85,85,430
315,roselia,3,20,grass,poison,50,60,45,100,80,65,400
316,gulpin,4,103,poison,,70,43,53,43,53,40,302
317,swalot,17,800,poison,,100,73,83,73,83,55,467
318,carvanha,8,208,water,dark,45,90,20,65,20,65,305
319,sharpedo,18,888,water,dark,70,120,40,95,40,95,460
320,wailmer,20,1300,water,,130,70,35,70,35,60,400
321,wailord,145,3980,water,,170,90,45,90,45,60,500
322,numel,7,240,fire,ground,60,60,40,65,45,35,305
323,camerupt,19,2200,fire,ground,70,100,70,105,75,40,460
324,torkoal,5,804,fire,,70,85,140,85,70,20,470
325,spoink,7,306,psychic,,60,25,35,70,80,60,330
326,grumpig,9,715,psychic,,80,45,65,90,110,80,470
327,spinda,11,50,normal,,60,60,60,60,60,60,360
328,trapinch,7,150,ground,,45,100,45,45,45,10,290
329,vibrava,11,153,ground,dragon,50,70,50,50,50,70,340
330,flygon,20,820,ground,dragon,80,100,80,80,80,100,520
331,cacnea,4,513,grass,,50,85,40,85,40,35,335
332,cacturne,13,774,grass,dark,70,115,60,115,60,55,475
333,swablu,4,12,normal,flying,45,40,60,40,75,50,310
334,altaria,11,206,dragon,flying,75,70,90,70,105,80,490
335,zangoose,13,403,normal,,73,115,60,60,60,90,458
336,seviper,27,525,poison,,73,100,60,100,60,65,458
337,lunatone,10,1680,rock,psychic,90,55,65,95,85,70,460
338,solrock,12,1540,rock,psychic,90,95,85,55,65,70,460
339,barboach,4,19,water,ground,50,48,43,46,41,60,288
340,whiscash,9,236,water,ground,110,78,73,76,71,60,468
341,corphish,6,115,water,,43,80,65,50,35,35,308
342,crawdaunt,11,328,water,dark,63,120,85,90,55,55,468
343,baltoy,5,215,ground,psychic,40,40,55,40,70,55,300
344,claydol,15,1080,ground,psychic,60,70,105,70,120,75,500
345,lileep,10,238,rock,grass,66,41,77,61,87,23,355
346,cradily,15,604,rock,grass,86,81,97,81,107,43,495
347,anorith,7,125,rock,bug,45,95,50,40,50,75,355
348,armaldo,15,682,rock,bug,75,125,100,70,80,45,495
349,feebas,6,74,water,,20,15,20,10,55,80,200
